outcome,contrast_type,graph_type,contrast,estimate,std_estimate,SE,std_SE,t,df,p,lower,upper,std_lower,std_upper,sig
influence_out,marginal,,role_eff,0.03737814115836617,0.4075140153553143,0.004048623593707931,0.044139992150596795,9.232308287798473,1252.9973279368367,1.095446300622971e-19,0.02943531227738966,0.045320970039342684,0.32091757181220315,0.4941104588984255,True
influence_out,marginal,,model_eff,0.056308013325562456,0.6138963548176483,0.004048623593707892,0.044139992150596365,13.907939827518842,1252.9973253308096,5.338501706811533e-41,0.04836518444457005,0.06425084220655486,0.5272999112743638,0.7004927983609327,True
influence_out,marginal,,alignment,0.009762283802335021,0.10643299393814969,0.004048623593707885,0.04413999215059629,2.4112599199162266,1252.9973253092573,0.016040645409001773,0.0018194549213424987,0.017705112683327542,0.019836550394863955,0.1930294374814354,True
influence_out,marginal,,dissociation,0.07987822580591304,0.8708698594643801,0.0028628091975827115,0.031211687771207794,27.902043165629177,1252.9973266691145,1.1927347834275263e-133,0.07426179764236474,0.08549465396946135,0.8096369270083487,0.9321027919204116,True
influence_out,within,erdos-renyi,role_eff,0.05105202543526651,0.5565931111716222,0.005725618395165015,0.06242337554241114,8.916421233796733,1252.997323661472,1.665480262716129e-18,0.03981916910814463,0.062284881762388396,0.4341272462592839,0.6790589760839607,True
influence_out,within,erdos-renyi,model_eff,0.05670312342859583,0.6182040303628925,0.005725618395165275,0.06242337554241397,9.903405975584414,1252.9973190774351,2.589961329473454e-22,0.0454702671014337,0.06793597975575795,0.4957381654501154,0.7406698952756696,True
influence_out,within,erdos-renyi,alignment,-0.014509251913882776,-0.15818666536082499,0.005725618395165254,0.06242337554241374,-2.5340934223165266,1252.9973179165042,0.01139485056474438,-0.025742108241054926,-0.003276395586710626,-0.2806525302737114,-0.035720800447938586,True
influence_out,within,erdos-renyi,dissociation,0.07497451018928769,0.8174072532682911,0.004048623593707751,0.044139992150594824,18.518518319611342,1252.9973183837444,7.290792022216296e-68,0.06703168130825299,0.0829173390703224,0.7308108097245455,0.9040036968120367,True
influence_out,within,watts-strogatz,role_eff,0.023704256881465834,0.2584349195390063,0.005725618395165357,0.062423375542414866,4.140034358818154,1252.9973220997683,3.704801619407895e-05,0.01247140055432974,0.034937113208601926,0.13596905462651304,0.3809007844514996,True
influence_out,within,watts-strogatz,model_eff,0.05591290322252908,0.6095886792724039,0.005725618395165387,0.0624233755424152,9.765391153161895,1252.9973259546089,9.24817054423141e-22,0.04468004689542634,0.06714575954963181,0.48712281436027427,0.7320545441845335,True
influence_out,within,watts-strogatz,alignment,0.03403381951855282,0.3710526532371244,0.005725618395165389,0.06242337554241522,5.944129903468658,1252.9973252370603,3.5982024761211658e-09,0.022800963191443858,0.04526667584566178,0.24858678832492687,0.4935185181493219,True
influence_out,within,watts-strogatz,dissociation,0.08478194142253839,0.9243324656604691,0.004048623593707873,0.044139992150596156,20.940929543141866,1252.9973222873452,9.894048902029605e-84,0.07683911254152737,0.09272477030354942,0.8377360221169817,1.0109289092039566,True
influence_out,interaction,,role_eff,0.027347768553800677,0.298158191632616,0.008097247187415101,0.08827998430118528,3.3774155488676585,1252.9973178244038,0.000754155140979449,0.011462110791725197,0.04323342631587616,0.12496530454505854,0.4713510787201734,True
influence_out,interaction,,model_eff,0.0007902202060667482,0.008615351090488537,0.008097247187415588,0.08827998430119059,0.0975912168390853,1252.9973197012341,0.9222725070990428,-0.015095437555986684,0.01667587796812018,-0.1645775359968285,0.1818082381778056,False
influence_out,interaction,,alignment,-0.048543071432435594,-0.5292393185979494,0.008097247187415573,0.08827998430119043,-5.99500920607677,1252.9973178443067,2.657114143804956e-09,-0.06442872919451176,-0.03265741367035943,-0.7024322056855142,-0.3560464315103845,True
influence_out,interaction,,dissociation,-0.00980743123325071,-0.10692521239217816,0.0057256183951651515,0.062423375542412625,-1.7129034029812988,1252.997314001977,0.08697769807650199,-0.02104028756045659,0.0014254250939551693,-0.2293910773054323,0.015540652521075983,False
