fit_mode,model,experiment_group,graph_type,exclude_round0_to_1,accuracy,behavior_error,fit_label,condition
single_transitions,m2-5,random_experts,watts-strogatz,True,0.9055748456790124,0.1076388888888889,single,random_experts | watts-strogatz | trans=True | single
single_transitions,m2-5,base_llms,erdos-renyi,False,0.9660590277777777,0.4390782828282829,single,base_llms | erdos-renyi | trans=False | single
single_transitions,m2-5,base_llms,erdos-renyi,True,0.9725115740740741,0.4288194444444444,single,base_llms | erdos-renyi | trans=True | single
single_transitions,m2-5,base_llms,watts-strogatz,False,0.9485243055555556,0.37689393939393945,single,base_llms | watts-strogatz | trans=False | single
single_transitions,m2-5,base_llms,watts-strogatz,True,0.9456983024691358,0.3626736111111111,single,base_llms | watts-strogatz | trans=True | single
single_transitions,m3,experts,erdos-renyi,False,0.8971354166666666,0.10321969696969698,single,experts | erdos-renyi | trans=False | single
single_transitions,m3,experts,erdos-renyi,True,0.9019097222222222,0.07960069444444445,single,experts | erdos-renyi | trans=True | single
single_transitions,m3,experts,watts-strogatz,False,0.8815972222222223,0.10708648989898989,single,experts | watts-strogatz | trans=False | single
single_transitions,m3,experts,watts-strogatz,True,0.8880208333333334,0.10017361111111112,single,experts | watts-strogatz | trans=True | single
single_transitions,m3,random_roles,erdos-renyi,False,0.9405381944444444,0.25142045454545453,single,random_roles | erdos-renyi | trans=False | single
single_transitions,m3,random_roles,erdos-renyi,True,0.9439621913580247,0.2230034722222222,single,random_roles | erdos-renyi | trans=True | single
single_transitions,m3,random_roles,watts-strogatz,False,0.9641493055555556,0.2649147727272727,single,random_roles | watts-strogatz | trans=False | single
single_transitions,m3,random_roles,watts-strogatz,True,0.9671103395061729,0.23315972222222223,single,random_roles | watts-strogatz | trans=True | single
single_transitions,m3,random_experts,erdos-renyi,False,0.8848090277777778,0.10716540404040403,single,random_experts | erdos-renyi | trans=False | single
single_transitions,m3,random_experts,erdos-renyi,True,0.8903356481481481,0.11145833333333333,single,random_experts | erdos-renyi | trans=True | single
single_transitions,m3,random_experts,watts-strogatz,False,0.9074652777777777,0.11868686868686869,single,random_experts | watts-strogatz | trans=False | single
single_transitions,m3,random_experts,watts-strogatz,True,0.9161844135802469,0.11059027777777779,single,random_experts | watts-strogatz | trans=True | single
single_transitions,m3,base_llms,erdos-renyi,False,0.9723958333333333,0.23216540404040406,single,base_llms | erdos-renyi | trans=False | single
single_transitions,m3,base_llms,erdos-renyi,True,0.9779128086419753,0.13420138888888888,single,base_llms | erdos-renyi | trans=True | single
single_transitions,m3,base_llms,watts-strogatz,False,0.96015625,0.2480271464646465,single,base_llms | watts-strogatz | trans=False | single
single_transitions,m3,base_llms,watts-strogatz,True,0.9565007716049383,0.2230034722222222,single,base_llms | watts-strogatz | trans=True | single
single_transitions,m4,experts,erdos-renyi,False,0.9130208333333333,0.09406565656565656,single,experts | erdos-renyi | trans=False | single
single_transitions,m4,experts,erdos-renyi,True,0.9155092592592593,0.0779513888888889,single,experts | erdos-renyi | trans=True | single
single_transitions,m4,experts,watts-strogatz,False,0.8908854166666667,0.10669191919191919,single,experts | watts-strogatz | trans=False | single
single_transitions,m4,experts,watts-strogatz,True,0.8967013888888888,0.10807291666666667,single,experts | watts-strogatz | trans=True | single
single_transitions,m4,random_roles,erdos-renyi,False,0.9426215277777777,0.25220959595959597,single,random_roles | erdos-renyi | trans=False | single
single_transitions,m4,random_roles,erdos-renyi,True,0.9451195987654321,0.21328125,single,random_roles | erdos-renyi | trans=True | single
single_transitions,m4,random_roles,watts-strogatz,False,0.9661458333333334,0.26625631313131315,single,random_roles | watts-strogatz | trans=False | single
single_transitions,m4,random_roles,watts-strogatz,True,0.9700038580246914,0.21866319444444446,single,random_roles | watts-strogatz | trans=True | single
single_transitions,m4,random_experts,erdos-renyi,False,0.8989583333333333,0.0872790404040404,single,random_experts | erdos-renyi | trans=False | single
single_transitions,m4,random_experts,erdos-renyi,True,0.9018132716049383,0.08819444444444445,single,random_experts | erdos-renyi | trans=True | single
single_transitions,m4,random_experts,watts-strogatz,False,0.9186631944444444,0.1070864898989899,single,random_experts | watts-strogatz | trans=False | single
single_transitions,m4,random_experts,watts-strogatz,True,0.9256365740740741,0.1095486111111111,single,random_experts | watts-strogatz | trans=True | single
single_transitions,m4,base_llms,erdos-renyi,False,0.9722222222222222,0.23524305555555558,single,base_llms | erdos-renyi | trans=False | single
single_transitions,m4,base_llms,erdos-renyi,True,0.9779128086419753,0.13402777777777777,single,base_llms | erdos-renyi | trans=True | single
single_transitions,m4,base_llms,watts-strogatz,False,0.96015625,0.2447127525252525,single,base_llms | watts-strogatz | trans=False | single
single_transitions,m4,base_llms,watts-strogatz,True,0.9572723765432098,0.22343749999999998,single,base_llms | watts-strogatz | trans=True | single
full_trajectories,m1,experts,erdos-renyi,False,0.884375,0.31502525252525254,full,experts | erdos-renyi | trans=False | full
full_trajectories,m1,experts,erdos-renyi,True,0.8910108024691358,0.25980902777777776,full,experts | erdos-renyi | trans=True | full
full_trajectories,m1,experts,watts-strogatz,False,0.8526909722222222,0.31344696969696967,full,experts | watts-strogatz | trans=False | full
full_trajectories,m1,experts,watts-strogatz,True,0.8647762345679012,0.28489583333333335,full,experts | watts-strogatz | trans=True | full
full_trajectories,m1,random_roles,erdos-renyi,False,0.9219618055555555,0.20486111111111108,full,random_roles | erdos-renyi | trans=False | full
full_trajectories,m1,random_roles,erdos-renyi,True,0.9231288580246914,0.18107638888888888,full,random_roles | erdos-renyi | trans=True | full
full_trajectories,m1,random_roles,watts-strogatz,False,0.9611111111111111,0.18379103535353536,full,random_roles | watts-strogatz | trans=False | full
full_trajectories,m1,random_roles,watts-strogatz,True,0.9665316358024691,0.14652777777777778,full,random_roles | watts-strogatz | trans=True | full
full_trajectories,m1,random_experts,erdos-renyi,False,0.8552951388888889,0.31644570707070707,full,random_experts | erdos-renyi | trans=False | full
full_trajectories,m1,random_experts,erdos-renyi,True,0.8668981481481481,0.2800347222222222,full,random_experts | erdos-renyi | trans=True | full
full_trajectories,m1,random_experts,watts-strogatz,False,0.8744791666666667,0.3204703282828283,full,random_experts | watts-strogatz | trans=False | full
full_trajectories,m1,random_experts,watts-strogatz,True,0.8903356481481481,0.2611111111111111,full,random_experts | watts-strogatz | trans=True | full
full_trajectories,m1,base_llms,erdos-renyi,False,0.9592013888888888,0.15151515151515152,full,base_llms | erdos-renyi | trans=False | full
full_trajectories,m1,base_llms,erdos-renyi,True,0.964891975308642,0.07847222222222222,full,base_llms | erdos-renyi | trans=True | full
full_trajectories,m1,base_llms,watts-strogatz,False,0.9493055555555555,0.13652146464646464,full,base_llms | watts-strogatz | trans=False | full
full_trajectories,m1,base_llms,watts-strogatz,True,0.9465663580246914,0.11892361111111112,full,base_llms | watts-strogatz | trans=True | full
full_trajectories,m2,experts,erdos-renyi,False,0.8676215277777778,0.10195707070707072,full,experts | erdos-renyi | trans=False | full
full_trajectories,m2,experts,erdos-renyi,True,0.8729745370370371,0.07647569444444445,full,experts | erdos-renyi | trans=True | full
full_trajectories,m2,experts,watts-strogatz,False,0.8474826388888889,0.11292613636363635,full,experts | watts-strogatz | trans=False | full
full_trajectories,m2,experts,watts-strogatz,True,0.8525270061728395,0.12725694444444444,full,experts | watts-strogatz | trans=True | full
full_trajectories,m2,random_roles,erdos-renyi,False,0.9361979166666666,0.11426767676767675,full,random_roles | erdos-renyi | trans=False | full
full_trajectories,m2,random_roles,erdos-renyi,True,0.9410686728395061,0.08281250000000001,full,random_roles | erdos-renyi | trans=True | full
full_trajectories,m2,random_roles,watts-strogatz,False,0.9595486111111111,0.08278093434343435,full,random_roles | watts-strogatz | trans=False | full
full_trajectories,m2,random_roles,watts-strogatz,True,0.964795524691358,0.03394097222222223,full,random_roles | watts-strogatz | trans=True | full
full_trajectories,m2,random_experts,erdos-renyi,False,0.8721354166666667,0.10890151515151514,full,random_experts | erdos-renyi | trans=False | full
full_trajectories,m2,random_experts,erdos-renyi,True,0.8792438271604939,0.09010416666666667,full,random_experts | erdos-renyi | trans=True | full
full_trajectories,m2,random_experts,watts-strogatz,False,0.8684895833333334,0.14401830808080807,full,random_experts | watts-strogatz | trans=False | full
full_trajectories,m2,random_experts,watts-strogatz,True,0.8740354938271605,0.13151041666666666,full,random_experts | watts-strogatz | trans=True | full
full_trajectories,m2,base_llms,erdos-renyi,False,0.9675347222222223,0.09548611111111112,full,base_llms | erdos-renyi | trans=False | full
full_trajectories,m2,base_llms,erdos-renyi,True,0.9741512345679012,0.016927083333333332,full,base_llms | erdos-renyi | trans=True | full
full_trajectories,m2,base_llms,watts-strogatz,False,0.9552083333333333,0.07417929292929293,full,base_llms | watts-strogatz | trans=False | full
full_trajectories,m2,base_llms,watts-strogatz,True,0.953125,0.07899305555555555,full,base_llms | watts-strogatz | trans=True | full
full_trajectories,m2-5,experts,erdos-renyi,False,0.890625,0.08072916666666666,full,experts | erdos-renyi | trans=False | full
full_trajectories,m2-5,experts,erdos-renyi,True,0.8949652777777778,0.05815972222222222,full,experts | erdos-renyi | trans=True | full
full_trajectories,m2-5,experts,watts-strogatz,False,0.8705729166666667,0.09809027777777778,full,experts | watts-strogatz | trans=False | full
full_trajectories,m2-5,experts,watts-strogatz,True,0.8782793209876543,0.11006944444444444,full,experts | watts-strogatz | trans=True | full
full_trajectories,m2-5,random_roles,erdos-renyi,False,0.9299479166666667,0.18978851010101008,full,random_roles | erdos-renyi | trans=False | full
full_trajectories,m2-5,random_roles,erdos-renyi,True,0.9320987654320988,0.14835069444444446,full,random_roles | erdos-renyi | trans=True | full
full_trajectories,m2-5,random_roles,watts-strogatz,False,0.9640625,0.1583806818181818,full,random_roles | watts-strogatz | trans=False | full
full_trajectories,m2-5,random_roles,watts-strogatz,True,0.9682677469135802,0.10763888888888888,full,random_roles | watts-strogatz | trans=True | full
full_trajectories,m2-5,random_experts,erdos-renyi,False,0.8802951388888889,0.09595959595959595,full,random_experts | erdos-renyi | trans=False | full
full_trajectories,m2-5,random_experts,erdos-renyi,True,0.8860918209876543,0.08767361111111112,full,random_experts | erdos-renyi | trans=True | full
full_trajectories,m2-5,random_experts,watts-strogatz,False,0.8935763888888889,0.10708648989898989,full,random_experts | watts-strogatz | trans=False | full
full_trajectories,m2-5,random_experts,watts-strogatz,True,0.9055748456790124,0.1076388888888889,full,random_experts | watts-strogatz | trans=True | full
full_trajectories,m2-5,base_llms,erdos-renyi,False,0.9660590277777777,0.4390782828282829,full,base_llms | erdos-renyi | trans=False | full
full_trajectories,m2-5,base_llms,erdos-renyi,True,0.9725115740740741,0.4288194444444444,full,base_llms | erdos-renyi | trans=True | full
full_trajectories,m2-5,base_llms,watts-strogatz,False,0.9485243055555556,0.37689393939393945,full,base_llms | watts-strogatz | trans=False | full
full_trajectories,m2-5,base_llms,watts-strogatz,True,0.9456983024691358,0.3626736111111111,full,base_llms | watts-strogatz | trans=True | full
full_trajectories,m3,experts,erdos-renyi,False,0.8971354166666666,0.10321969696969698,full,experts | erdos-renyi | trans=False | full
full_trajectories,m3,experts,erdos-renyi,True,0.9019097222222222,0.07960069444444445,full,experts | erdos-renyi | trans=True | full
full_trajectories,m3,experts,watts-strogatz,False,0.8815972222222223,0.10708648989898989,full,experts | watts-strogatz | trans=False | full
full_trajectories,m3,experts,watts-strogatz,True,0.8880208333333334,0.10017361111111112,full,experts | watts-strogatz | trans=True | full
full_trajectories,m3,random_roles,erdos-renyi,False,0.9405381944444444,0.25142045454545453,full,random_roles | erdos-renyi | trans=False | full
full_trajectories,m3,random_roles,erdos-renyi,True,0.9439621913580247,0.2230034722222222,full,random_roles | erdos-renyi | trans=True | full
full_trajectories,m3,random_roles,watts-strogatz,False,0.9641493055555556,0.2649147727272727,full,random_roles | watts-strogatz | trans=False | full
full_trajectories,m3,random_roles,watts-strogatz,True,0.9671103395061729,0.23315972222222223,full,random_roles | watts-strogatz | trans=True | full
full_trajectories,m3,random_experts,erdos-renyi,False,0.8848090277777778,0.10716540404040403,full,random_experts | erdos-renyi | trans=False | full
full_trajectories,m3,random_experts,erdos-renyi,True,0.8903356481481481,0.11145833333333333,full,random_experts | erdos-renyi | trans=True | full
full_trajectories,m3,random_experts,watts-strogatz,False,0.9074652777777777,0.11868686868686869,full,random_experts | watts-strogatz | trans=False | full
full_trajectories,m3,random_experts,watts-strogatz,True,0.9161844135802469,0.11059027777777779,full,random_experts | watts-strogatz | trans=True | full
full_trajectories,m3,base_llms,erdos-renyi,False,0.9723958333333333,0.23216540404040406,full,base_llms | erdos-renyi | trans=False | full
full_trajectories,m3,base_llms,erdos-renyi,True,0.9779128086419753,0.13420138888888888,full,base_llms | erdos-renyi | trans=True | full
full_trajectories,m3,base_llms,watts-strogatz,False,0.96015625,0.2480271464646465,full,base_llms | watts-strogatz | trans=False | full
full_trajectories,m3,base_llms,watts-strogatz,True,0.9565007716049383,0.2230034722222222,full,base_llms | watts-strogatz | trans=True | full
full_trajectories,m4,experts,erdos-renyi,False,0.9130208333333333,0.09406565656565656,full,experts | erdos-renyi | trans=False | full
full_trajectories,m4,experts,erdos-renyi,True,0.9155092592592593,0.0779513888888889,full,experts | erdos-renyi | trans=True | full
full_trajectories,m4,experts,watts-strogatz,False,0.8908854166666667,0.10669191919191919,full,experts | watts-strogatz | trans=False | full
full_trajectories,m4,experts,watts-strogatz,True,0.8967013888888888,0.10807291666666667,full,experts | watts-strogatz | trans=True | full
full_trajectories,m4,random_roles,erdos-renyi,False,0.9426215277777777,0.25220959595959597,full,random_roles | erdos-renyi | trans=False | full
full_trajectories,m4,random_roles,erdos-renyi,True,0.9451195987654321,0.21328125,full,random_roles | erdos-renyi | trans=True | full
full_trajectories,m4,random_roles,watts-strogatz,False,0.9661458333333334,0.26625631313131315,full,random_roles | watts-strogatz | trans=False | full
full_trajectories,m4,random_roles,watts-strogatz,True,0.9700038580246914,0.21866319444444446,full,random_roles | watts-strogatz | trans=True | full
full_trajectories,m4,random_experts,erdos-renyi,False,0.8989583333333333,0.0872790404040404,full,random_experts | erdos-renyi | trans=False | full
full_trajectories,m4,random_experts,erdos-renyi,True,0.9018132716049383,0.08819444444444445,full,random_experts | erdos-renyi | trans=True | full
full_trajectories,m4,random_experts,watts-strogatz,False,0.9186631944444444,0.1070864898989899,full,random_experts | watts-strogatz | trans=False | full
full_trajectories,m4,random_experts,watts-strogatz,True,0.9256365740740741,0.1095486111111111,full,random_experts | watts-strogatz | trans=True | full
full_trajectories,m4,base_llms,erdos-renyi,False,0.9722222222222222,0.23524305555555558,full,base_llms | erdos-renyi | trans=False | full
full_trajectories,m4,base_llms,erdos-renyi,True,0.9779128086419753,0.13402777777777777,full,base_llms | erdos-renyi | trans=True | full
full_trajectories,m4,base_llms,watts-strogatz,False,0.96015625,0.2447127525252525,full,base_llms | watts-strogatz | trans=False | full
full_trajectories,m4,base_llms,watts-strogatz,True,0.9572723765432098,0.22343749999999998,full,base_llms | watts-strogatz | trans=True | full
