,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Term
setting,3.5997612847224945,1.1999204282408316,3,1238.9751078429888,214.93774821422576,3.0814080727237187e-112,setting
graph_type,0.021871114577346917,0.021871114577346917,1,13.97620409482555,3.9176998803847094,0.06782691920722447,graph_type
setting:graph_type,0.028841145833331416,0.009613715277777138,3,1238.9751067623506,1.7220727851158715,0.1606170161033232,setting:graph_type
