,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),0.9972656250000679,0.014452329112387996,26.00742669239367,69.00379981972934,5.466625196295493e-31
setting -> random_roles,-0.03177083333334408,0.008353623213541597,1238.975114517551,-3.803239926100825,0.00014977343760076657
setting -> random_experts,-0.09869791666667874,0.0083536232135416,1238.9751145623927,-11.814983049113941,1.3379754346932547e-30
setting -> experts,-0.12473958333334607,0.0083536232135416,1238.9751095638628,-14.932392824605445,1.7335372560549626e-46
graph_type -> watts-strogatz,-0.009635416666678259,0.00837036952536762,198.82184720245155,-1.151133965767787,0.2510595973895522
setting -> random_roles:graph_type -> watts-strogatz,0.017187500000010462,0.011813807243545242,1238.9751087275038,1.4548654507124505,0.14595980976893475
setting -> random_experts:graph_type -> watts-strogatz,-0.005729166666654886,0.011813807243545244,1238.9751105148728,-0.48495515023619107,0.6277938890236412
setting -> experts:graph_type -> watts-strogatz,-0.006249999999987366,0.011813807243545244,1238.9751078864474,-0.5290419820758633,0.5968710918353165
