,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Term
setting,7.722595214843743,2.5741984049479143,3,1253.0000043975049,338.837967873581,4.4834088532528975e-161,setting
graph_type,0.021876356336805635,0.021876356336805635,1,1253.0000043739008,2.879552761509671,0.08995928967901681,graph_type
setting:graph_type,0.028552246093749893,0.009517415364583297,3,1253.000004372485,1.2527634526327245,0.2892630877469985,setting:graph_type
