,setting,graph_type,emmean,SE,df,lower.CL,upper.CL
1,base_llms,erdos-renyi,-0.0027343750000004257,0.013436148998470235,32.013967276665625,-0.030102446615296555,0.0246336966152957
2,random_roles,erdos-renyi,0.04049479166666627,0.013436148998470156,32.01396736627604,0.013126720054373358,0.06786286327895918
3,random_experts,erdos-renyi,0.19283854166666625,0.013436148998470156,32.01396736643362,0.16547047005437862,0.22020661327895388
4,experts,erdos-renyi,0.15690104166666627,0.013436148998470156,32.01396736643362,0.12953297005437864,0.1842691132789539
5,base_llms,watts-strogatz,-0.012369791666667193,0.013436148998470149,32.01396736227803,-0.03973786327909407,0.014998279945759687
6,random_roles,watts-strogatz,0.04804687499999959,0.013436148998470154,32.01396736233861,0.020678803387574732,0.07541494661242445
7,random_experts,watts-strogatz,0.1777343749999996,0.013436148998470154,32.0139673619074,0.1503663033875603,0.20510244661243893
8,experts,watts-strogatz,0.14101562499999967,0.013436148998470156,32.01396736225039,0.11364755338757186,0.1683836966124275
