,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),-0.0027343750000004257,0.013436148998470235,32.013967276665625,-0.20350883279961737,0.8400254152683566
setting -> random_roles,0.0432291666666667,0.009744958202481316,1253.0000044838227,4.4360546005892,9.966286772898896e-06
setting -> random_experts,0.19557291666666668,0.009744958202481316,1253.000004467656,20.069138584593293,6.630801023983325e-78
setting -> experts,0.1596354166666667,0.009744958202481314,1253.0000044891362,16.38133415759746,8.475601658950695e-55
graph_type -> watts-strogatz,-0.009635416666666768,0.00974495820248131,1253.0000044228655,-0.9887591579626632,0.3229718837089306
setting -> random_roles:graph_type -> watts-strogatz,0.017187500000000088,0.013781452054708009,1253.0000044052026,1.2471472477479983,0.21257656885164244
setting -> random_experts:graph_type -> watts-strogatz,-0.0054687499999998895,0.01378145205470801,1253.0000044018273,-0.3968195788288984,0.6915680870450256
setting -> experts:graph_type -> watts-strogatz,-0.0062499999999998425,0.01378145205470801,1253.0000043871557,-0.45350809009016735,0.6502614482123815
