outcome,contrast_type,graph_type,contrast,estimate,std_estimate,SE,std_SE,t,df,p,lower,upper,std_lower,std_upper,sig
polarization_T,marginal,,role_eff,0.03937946756722117,0.27434864481768806,0.005454507909167786,0.038000433867550636,7.219618748931182,1253.0000001929272,9.015165254387114e-13,0.02867849182562656,0.050080443308815774,0.19979714947504543,0.34890014016033066,True
polarization_T,marginal,,model_eff,0.18693217560618408,1.3023179900245057,0.005454507909167788,0.03800043386755065,34.271134760294984,1253.0000003154998,3.741517256737612e-182,0.1762311998645905,0.19763315134777767,1.2277664946818703,1.3768694853671413,True
polarization_T,marginal,,alignment,0.02397978050855719,0.16706219489428492,0.005454507909167789,0.038000433867550656,4.39632335453261,1253.0000002860097,1.1942357907929827e-05,0.013278804766963345,0.03468075625015103,0.09251069955164763,0.24161369023692222,True
polarization_T,marginal,,dissociation,0.21861179964407326,1.5230234098804922,0.003856919530608199,0.026870364475776003,56.68041500715476,1253.0000002568563,0.0,0.21104506713187934,0.22617853215626718,1.470307541976115,1.5757392777848696,True
polarization_T,within,erdos-renyi,role_eff,0.04560137996895959,0.3176954278252917,0.007713839061216392,0.053740728951551964,5.911632276363402,1253.000000181374,4.361773079865283e-09,0.030467914944570882,0.0607348449933483,0.21226369201653103,0.42312716363405245,True
polarization_T,within,erdos-renyi,model_eff,0.18572544825657922,1.2939109689680781,0.0077138390612163975,0.053740728951552,24.07691511096838,1253.0000002951579,1.3867387836215847e-105,0.17059198323219182,0.2008589132809666,1.1884792331593266,1.3993427047768296,True
polarization_T,within,erdos-renyi,alignment,0.020252603019564525,0.14109571651682504,0.007713839061216399,0.05374072895155201,2.6254894429144184,1253.0000002852541,0.008757808176905788,0.005119137995177018,0.03538606804395203,0.03566398070807273,0.24652745232557735,True
polarization_T,within,erdos-renyi,dissociation,0.21865243975084128,1.5233065411391367,0.005454507909167785,0.03800043386755063,40.08655654955351,1253.00000026733,8.655287336417077e-227,0.2079514640092473,0.22935341549243526,1.4487550457964984,1.597858036481775,True
polarization_T,within,watts-strogatz,role_eff,0.033157555165482744,0.23100186181008434,0.007713839061216399,0.05374072895155201,4.298450473538154,1253.0000002960194,1.8532404385352974e-05,0.018024090141095364,0.048291020189870124,0.1255701260013329,0.3364335976188358,True
polarization_T,within,watts-strogatz,model_eff,0.18813890295578892,1.3107250110809332,0.007713839061216398,0.053740728951552005,24.3897884649568,1253.0000003167495,7.873964311154716e-108,0.17300543793140177,0.20327236798017606,1.2052932752721834,1.416156746889683,True
polarization_T,within,watts-strogatz,alignment,0.02770695799754985,0.19302867327174478,0.007713839061216399,0.05374072895155201,3.591850669643181,1253.000000291414,0.00034104956980994034,0.012573492973162414,0.04284042302193729,0.08759693746299295,0.2984604090804966,True
polarization_T,within,watts-strogatz,dissociation,0.21857115953730522,1.5227402786218478,0.005454507909167787,0.03800043386755064,40.07165507450027,1253.0000003162556,1.1246429547000815e-226,0.20787018379571162,0.2292721352788988,1.4481887832792122,1.5972917739644832,True
polarization_T,interaction,,role_eff,0.012443824803476843,0.08669356601520735,0.010909015818335569,0.07600086773510126,1.1406917920644692,1253.0000002844658,0.25421617894693166,-0.008958126679710854,0.03384577628666454,-0.062409424670067305,0.235796556700482,False
polarization_T,interaction,,model_eff,-0.00241345469920971,-0.01681404211285501,0.010909015818335572,0.07600086773510127,-0.22123487025779556,1253.0000002964093,0.8249456057458705,-0.023815406182397213,0.018988496783977793,-0.1659170327981283,0.1322889485724183,False
polarization_T,interaction,,alignment,-0.0074543549779853245,-0.05193295675491972,0.010909015818335572,0.07600086773510127,-0.6833205764956588,1253.0000002906584,0.49453062452050434,-0.028856306461172924,0.013947596505202275,-0.2010359474401937,0.09717003393035427,False
polarization_T,interaction,,dissociation,8.128021353604928e-05,0.0005662625172888028,0.007713839061216397,0.05374072895155199,0.010536934059813298,1253.0000003267294,0.9915945759161062,-0.01505218481085097,0.015214745237923068,-0.10486547329146012,0.10599799832603773,False
modal_consensus_change,marginal,,role_eff,0.0518229166666667,0.40762671990257154,0.0068907260481633386,0.05420080993949001,7.520675804617081,1253.000000466157,1.0351278149545106e-13,0.03830428336164967,0.06534154997168372,0.3012923700408196,0.5139610697643234,True
modal_consensus_change,marginal,,model_eff,0.14101562499999995,1.109195320739911,0.006890726048163341,0.05420080993949003,20.464552503518313,1253.0000005184718,1.5636785016150147e-80,0.12749699169498346,0.15453425830501644,1.0028609708781633,1.2155296706016585,True
modal_consensus_change,marginal,,alignment,-0.03632812499999994,-0.2857483790271789,0.00689072604816334,0.05420080993949002,-5.272031531377287,1253.0000004518156,1.5876167561029374e-07,-0.04984675830501712,-0.02280949169498276,-0.39208272888893203,-0.1794140291654258,True
modal_consensus_change,marginal,,dissociation,0.14876302083333334,1.1701344911776073,0.004872479115955079,0.03832576025401663,30.53127931245603,1253.0000004707517,1.6505465406029742e-153,0.13920390355098153,0.15832213811568516,1.0949447513173,1.2453242310379147,True
modal_consensus_change,within,erdos-renyi,role_eff,0.0432291666666665,0.3400303291649576,0.009744958231910163,0.0766515205080333,4.436054587192716,1253.0000004476524,9.966287385837705e-06,0.024110932101962516,0.06234740123137048,0.1896508494443402,0.49040980888557506,True
modal_consensus_change,within,erdos-renyi,model_eff,0.15234374999999994,1.1982996539849453,0.00974495823191016,0.07665152050803327,15.63308393679367,1253.0000004360584,1.8329724166812257e-50,0.1332255154352958,0.1714619845647041,1.0479201742643265,1.3486791337055641,True
modal_consensus_change,within,erdos-renyi,alignment,-0.035937499999999956,-0.282675815811833,0.00974495823191016,0.07665152050803327,-3.687804415859016,1253.0000003748294,0.00023587931352543024,-0.05505573456470501,-0.016819265435294904,-0.43305529553245886,-0.13229633609120717,True
modal_consensus_change,within,erdos-renyi,dissociation,0.1559895833333332,1.2269769106615076,0.006890726048163342,0.05420080993949004,22.63761209530464,1253.000000393055,2.139384321163694e-95,0.14247095002831542,0.169508216638351,1.1206425607997497,1.3333112605232655,True
modal_consensus_change,within,watts-strogatz,role_eff,0.060416666666666896,0.4752231106401854,0.009744958231910156,0.07665152050803324,6.199787133907945,1253.0000004172712,7.661317649039636e-10,0.041298432101962476,0.07953490123137132,0.32484363091956453,0.6256025903608063,True
modal_consensus_change,within,watts-strogatz,model_eff,0.12968749999999998,1.0200909874948767,0.009744958231910157,0.07665152050803326,13.308163761578205,1253.0000004842025,6.791213159595843e-38,0.11056926543529655,0.14880573456470342,0.8697115077742636,1.17047046721549,True
modal_consensus_change,within,watts-strogatz,alignment,-0.036718749999999925,-0.2888209422425248,0.009744958231910157,0.07665152050803326,-3.7679740770733403,1253.0000004788299,0.00017222607681664003,-0.05583698456470344,-0.01760051543529641,-0.4392004219631386,-0.13844146252191106,True
modal_consensus_change,within,watts-strogatz,dissociation,0.14153645833333345,1.113292071693707,0.006890726048163341,0.05420080993949003,20.540137184971773,1253.0000004615588,4.886602294535686e-81,0.12801782502831638,0.15505509163835052,1.0069577218319548,1.219626421555459,True
modal_consensus_change,interaction,,role_eff,-0.017187500000000397,-0.13519278147522776,0.01378145209632669,0.10840161987898012,-1.247147243981754,1253.0000003987664,0.21257657023263288,-0.044224766610035875,0.00984976661003508,-0.3478614811987428,0.07747591824828724,False
modal_consensus_change,interaction,,model_eff,0.022656249999999958,0.17820866649006853,0.013781452096326682,0.10840161987898006,1.6439668216122718,1253.0000004017884,0.10043391572083722,-0.004381016610035444,0.04969351661003536,-0.03446003323344589,0.39087736621358293,False
modal_consensus_change,interaction,,alignment,0.0007812499999999677,0.0061451264306917755,0.013781452096326682,0.10840161987898006,0.0566885110900761,1253.0000004018432,0.9548023642005702,-0.026256016610035432,0.02781851661003537,-0.20652357329282262,0.2188138261542062,False
modal_consensus_change,interaction,,dissociation,0.014453124999999742,0.11368483896780052,0.009744958231910163,0.0766515205080333,1.483138732465014,1253.0000003838625,0.13828902689181874,-0.004665109564705181,0.03357135956470467,-0.03669464075282431,0.26406431868842534,False
