,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Term
setting,106.3274504115684,35.4424834705228,3,61399.00001045363,3885.3675569317807,0.0,setting
graph_type,0.00942773706847475,0.00942773706847475,1,14.000003264924276,1.033511767638968,0.3265831900088647,graph_type
setting:graph_type,5.498836656028657,1.8329455520095523,3,61399.0000043155,200.93589624788441,1.0739908893200885e-129,setting:graph_type
