,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),0.025634096000954225,0.012679938375040828,20.013702910051062,2.0216262289895934,0.05679071109862597
setting -> random_roles,0.047546455604410266,0.0015412759644624495,61399.00000944748,30.848762130014162,2.2560535051707642e-207
setting -> random_experts,0.10635271591344655,0.0015412759644624497,61399.000013094985,69.00303278948437,0.0
setting -> experts,0.08975403460652633,0.0015412759644624495,61399.00001444111,58.23359130746571,0.0
graph_type -> watts-strogatz,0.004610510249611184,0.0029409477952722822,22.205993374115998,1.5676953725675802,0.131092974772868
setting -> random_roles:graph_type -> watts-strogatz,-0.024487058017010694,0.002179693372302471,61399.00000443984,-11.234175562567469,2.959091574246628e-29
setting -> random_experts:graph_type -> watts-strogatz,-0.02503705800021268,0.002179693372302471,61399.00000293017,-11.486504624164333,1.6571558777276376e-30
setting -> experts:graph_type -> watts-strogatz,0.02042549534573773,0.0021796933723024704,61399.00000272498,9.370811328458421,7.432339906285032e-21
