,setting,graph_type,emmean,SE,df,lower.CL,upper.CL
1,base_llms,erdos-renyi,0.025634096000954225,0.012679938375040828,20.013702910051062,-0.0008146310528905042,0.05208282305479896
2,random_roles,erdos-renyi,0.07318055160536449,0.012679938375040832,20.01370291241189,0.04673182455171962,0.09962927865900936
3,random_experts,erdos-renyi,0.1319868119144008,0.012679938375040832,20.01370291241236,0.10553808486075596,0.15843553896804563
4,experts,erdos-renyi,0.11538813060748054,0.012679938375040832,20.013702912410594,0.08893940355383556,0.14183685766112553
5,base_llms,watts-strogatz,0.03024460625056541,0.012679938375040712,20.013702901571662,0.003795879196003077,0.05669333330512774
6,random_roles,watts-strogatz,0.05330400383796498,0.012679938375040278,20.013702845362157,0.026855276778644934,0.07975273089728502
7,random_experts,watts-strogatz,0.11156026416379929,0.012679938375040278,20.013702845380713,0.08511153710448081,0.13800899122311774
8,experts,watts-strogatz,0.14042413620282945,0.012679938375040278,20.013702845382056,0.11397540914351109,0.1668728632621478
