,setting,graph_type,emmean,SE,df,lower.CL,upper.CL
1,base_llms,erdos-renyi,0.9687608868361994,0.028116561622973643,19.93300200591206,0.910098126840658,1.0274236468317408
2,random_roles,erdos-renyi,0.44311264775315595,0.02811656162297235,19.93300285642533,0.38444988791865153,0.5017754075876604
3,random_experts,erdos-renyi,0.2709452052342253,0.02811656162297235,19.933002856411402,0.21228244539971824,0.3296079650687323
4,experts,erdos-renyi,0.3062712685413991,0.02811656162297235,19.93300285641469,0.24760850870689266,0.3649340283759055
5,base_llms,watts-strogatz,0.9587478470226377,0.02811656162297198,19.93300326043735,0.9000850872646288,1.0174106067806465
6,random_roles,watts-strogatz,0.5010376144537981,0.028116561622968064,19.933003568972936,0.4423748547542148,0.5597003741533815
7,random_experts,watts-strogatz,0.34658014815633914,0.028116561622968064,19.93300356895156,0.28791738845675174,0.40524290785592654
8,experts,watts-strogatz,0.2636384821360842,0.028116561622968064,19.93300356896861,0.20497572243650003,0.3223012418356684
