,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),0.9687608868361994,0.028116561622973643,19.93300200591206,34.45516915712192,3.0762261047249274e-19
setting -> random_roles,-0.5256482390830435,0.0037482250221723998,61398.99993655893,-140.23924283456915,0.0
setting -> random_experts,-0.6978156816019742,0.0037482250221723998,61398.99993760763,-186.17230221613895,0.0
setting -> experts,-0.6624896182948004,0.0037482250221723993,61398.99993903149,-176.74755767753615,0.0
graph_type -> watts-strogatz,-0.010013039813561704,0.006290681054157387,26.003955358778423,-1.5917258763173636,0.1235311874556714
setting -> random_roles:graph_type -> watts-strogatz,0.06793800651420387,0.005300790661182402,61398.999940029935,12.816579800389537,1.4795888936559925e-37
setting -> random_experts:graph_type -> watts-strogatz,0.0856479827356756,0.005300790661182402,61398.999937058856,16.157586331955024,1.3271172700722027e-58
setting -> experts:graph_type -> watts-strogatz,-0.03261974659175318,0.005300790661182401,61398.99994070235,-6.1537511433203775,7.613756085043202e-10
