,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Term
setting,4584.1270820721975,1528.0423606907325,3,61398.99996385966,28323.88735297047,0.0,setting
graph_type,0.7602866555966385,0.7602866555966385,1,14.000018810368394,14.092720295628157,0.002136303971160834,graph_type
setting:graph_type,35.93083997882351,11.976946659607838,3,61398.99995186241,222.00542128028573,2.9320137701809154e-143,setting:graph_type
