,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Term
setting,15.633281636217191,5.211093878739064,3,1253.0000003468128,1094.7066664359243,0.0,setting
graph_type,0.0021452103769995737,0.0021452103769995737,1,1253.00000036814,0.4506493560191236,0.5021504809791659,graph_type
setting:graph_type,0.008417175872947415,0.002805725290982472,3,1253.0000003399261,0.5894052672429667,0.6219945467092391,setting:graph_type
