,setting,graph_type,emmean,SE,df,lower.CL,upper.CL
1,base_llms,erdos-renyi,0.014644157582990047,0.01486799568014134,24.4043468793848,-0.016014994338459213,0.04530330950443931
2,random_roles,erdos-renyi,0.060245537551950445,0.014867995680141235,24.40434684284316,0.02958638562811416,0.09090468947578673
3,random_experts,erdos-renyi,0.24597098580852958,0.014867995680141235,24.404346842885317,0.21531183388469605,0.2766301377323631
4,experts,erdos-renyi,0.2662235888280942,0.014867995680141235,24.404346842884056,0.2355644369042606,0.29688274075192783
5,base_llms,watts-strogatz,0.023495876449250868,0.014867995680141284,24.40434683664268,-0.007163275474990585,0.05415502837349232
6,random_roles,watts-strogatz,0.056653431614733574,0.014867995680141235,24.404346845341667,0.025994279691060516,0.08731258353840662
7,random_experts,watts-strogatz,0.2447923345705224,0.014867995680141237,24.404346845508506,0.21413318264686024,0.27545148649418455
8,experts,watts-strogatz,0.2724992925680723,0.014867995680141235,24.404346845282273,0.24184014064439538,0.3031584444917493
