,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),0.014644157582990047,0.01486799568014134,24.4043468793848,0.9849449716043256,0.3343160773340762
setting -> random_roles,0.045601379968960395,0.007713839061208243,1253.0000003338037,5.911632276369752,4.361773079569943e-09
setting -> random_experts,0.23132682822553954,0.007713839061208245,1253.0000003405294,29.988547387363568,2.202887783642852e-149
setting -> experts,0.2515794312451042,0.007713839061208245,1253.000000335141,32.614036830280774,1.9943697528785656e-169
graph_type -> watts-strogatz,0.008851718866260821,0.007713839061208241,1253.000000348371,1.1475114785288703,0.251389341688096
setting -> random_roles:graph_type -> watts-strogatz,-0.012443824803477697,0.01090901581832404,1253.0000003393623,-1.140691792065753,0.25421617894638787
setting -> random_experts:graph_type -> watts-strogatz,-0.010030370104267983,0.010909015818324043,1253.00000034876,-0.919456921807723,0.3580335952370114
setting -> experts:graph_type -> watts-strogatz,-0.002576015126282725,0.010909015818324043,1253.0000003434154,-0.23613634531134808,0.8133654643657263
