,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),0.014644157583000613,0.012710736440593902,25.14445202584226,1.1521092937016617,0.2601128477241793
setting -> random_roles,-0.0334915169747551,0.006902906544296893,1238.9984901661978,-4.851799276121655,1.379002599822719e-06
setting -> random_experts,-0.10641040431768056,0.00690290654429689,1238.9984896892902,-15.41530421060035,3.49760932633748e-49
setting -> experts,-0.07817310980684464,0.00690290654429689,1238.9984899434874,-11.324665820867944,2.323603018279609e-28
graph_type -> watts-strogatz,0.008851718866259115,0.006972894662697436,183.4294076142082,1.2694468071649978,0.20588999530444907
setting -> random_roles:graph_type -> watts-strogatz,-0.012443824803475842,0.009762184054738655,1238.998490185503,-1.2746968028568868,0.20265557772297949
setting -> random_experts:graph_type -> watts-strogatz,-0.010102958583455047,0.009762184054738653,1238.9984901461794,-1.0349076115350415,0.3009140061860488
setting -> experts:graph_type -> watts-strogatz,-0.0025802291094783364,0.009762184054738653,1238.9984899436815,-0.2643085906811877,0.7915860985059276
