,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Term
setting,2.24536904610929,0.7484563487030966,3,1238.998490633594,196.34167977731147,3.6585481417730895e-104,setting
graph_type,0.0019542000488533724,0.0019542000488533724,1,13.999015262925179,0.5126430163597699,0.4857697174412495,graph_type
setting:graph_type,0.008458755270986522,0.0028195850903288406,3,1238.9984903343743,0.7396584635423196,0.5284341872429179,setting:graph_type
