,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),0.0042669723414766455,0.007903882689446745,41.46680307545633,0.5398577520860605,0.5921827062699101
setting -> random_roles,-0.03951724797754794,0.0068045487723698535,1252.9885750153078,-5.807475161028947,8.030997815534565e-09
setting -> random_experts,-0.07488425087002361,0.006804548772369854,1252.9885551200323,-11.005028162057437,5.923072407914071e-27
setting -> experts,-0.05022688812034984,0.006804548772369854,1252.9885723822001,-7.381369404580969,2.845523945500283e-13
graph_type -> watts-strogatz,0.012254354002033164,0.006804550149805742,1247.9572066859841,1.8009058251092476,0.07195906958756944
setting -> random_roles:graph_type -> watts-strogatz,-0.010278165388475521,0.009623085159714644,1252.988561999955,-1.068073826417255,0.2856929418403319
setting -> random_experts:graph_type -> watts-strogatz,-0.016331499867547148,0.009623085159714644,1252.9885223094902,-1.697116838985911,0.08992291887332401
setting -> experts:graph_type -> watts-strogatz,-0.015034145640426735,0.009623085159714644,1252.9885533100842,-1.562299968347422,0.11846985595179849
