,setting,graph_type,emmean,SE,df,lower.CL,upper.CL
1,base_llms,erdos-renyi,0.0042669723414766455,0.007903882689446745,41.46680307545633,-0.01168978729260714,0.020223731975560433
2,random_roles,erdos-renyi,-0.03525027563607129,0.007903882689446685,41.466802838303344,-0.05120703527289433,-0.019293515999248247
3,random_experts,erdos-renyi,-0.07061727852854696,0.007903882689446685,41.46680287871284,-0.08657403816490324,-0.05466051889219069
4,experts,erdos-renyi,-0.04595991577887319,0.007903882689446685,41.46680280538766,-0.06191667541607645,-0.030003156141669936
5,base_llms,watts-strogatz,0.01652132634350981,0.007903882689446686,41.466802419542766,0.0005645667018496087,0.03247808598517001
6,random_roles,watts-strogatz,-0.03327408702251365,0.00790388268944669,41.466802080745644,-0.049230846668087344,-0.017317327376939962
7,random_experts,watts-strogatz,-0.07469442439406095,0.00790388268944669,41.46680245465446,-0.09065118403531558,-0.05873766475280632
8,experts,watts-strogatz,-0.04873970741726677,0.007903882689446688,41.46680214165214,-0.06469646706213691,-0.03278294777239662
