,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Term
setting,1.1609288922801113,0.3869762974267038,3,1252.9885953314183,104.47099125162231,2.2949940218527493e-60,setting
graph_type,0.0010873992858941525,0.0010873992858941525,1,1171.831971792906,0.2935623758847539,0.5880496701595289,graph_type
setting:graph_type,0.013186588825544129,0.0043955296085147096,3,1252.9885707999858,1.186649772430478,0.31353080422186413,setting:graph_type
