,setting,graph_type,emmean,SE,df,lower.CL,upper.CL
1,base_llms,erdos-renyi,0.014563489633809495,0.012763869450211074,20.059679237209004,-0.012056398362570246,0.041183377630189234
2,random_roles,erdos-renyi,0.0656155150690557,0.012763869450213518,20.059678791304172,0.03899562703485583,0.09223540310325558
3,random_experts,erdos-renyi,0.12231863849764706,0.012763869450213518,20.059678791302122,0.095698750463447,0.1489385265318471
4,experts,erdos-renyi,0.10780938658369278,0.012763869450213518,20.05967879130427,0.08118949854949292,0.13442927461789264
5,base_llms,watts-strogatz,0.01880574210854734,0.012763869450249637,20.059671465141353,-0.007814146547024638,0.04542563076411932
6,random_roles,watts-strogatz,0.042509998990218296,0.012763869450249637,20.059671792003037,0.015890110362365904,0.06912988761807069
7,random_experts,watts-strogatz,0.0984229022127244,0.012763869450249637,20.059671792011226,0.0718030135848727,0.1250427908405761
8,experts,watts-strogatz,0.13245672173130438,0.012763869450249637,20.059671792009024,0.10583683310345249,0.15907661035915627
