,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),0.014563489633809495,0.012763869450211074,20.059679237209004,1.1409933085431754,0.2673119291432242
setting -> random_roles,0.051052025435246215,0.0009526747139512577,61399.00000211864,53.58809747716073,0.0
setting -> random_experts,0.10775514886383757,0.000952674713951258,61399.00000797478,113.10801817854345,0.0
setting -> experts,0.09324589694988329,0.000952674713951258,61399.0000050425,97.87800136223,0.0
graph_type -> watts-strogatz,0.0042422524747378456,0.002997369165424169,16.38940431331276,1.41532532050903,0.1756940399204417
setting -> random_roles:graph_type -> watts-strogatz,-0.027347768553575257,0.0013472855009997774,61399.0000019968,-20.29842118339532,2.651290883628438e-91
setting -> random_experts:graph_type -> watts-strogatz,-0.028137988759660497,0.0013472855009997776,61399.00000365047,-20.884948838817156,1.5921311917369532e-96
setting -> experts:graph_type -> watts-strogatz,0.020405082672873755,0.0013472855009997778,61399.000002433735,15.145329373567659,1.009148860459001e-51
